Rk.,Column1,Player,Pitches,Total,Pitch %,xBA,BA - xBA,2
382,,"Kelenic, Jarred",181,699,25.9,0.172,-0.031,Graphs
383,,"Larnach, Trevor",179,724,24.7,0.227,0.004,Graphs
384,,"Clement, Ernie",179,629,28.5,0.235,-0.051,Graphs
385,,"Refsnyder, Rob",177,732,24.2,0.286,0.021,Graphs
386,,"Cave, Jake",177,710,24.9,0.213,0,Graphs
387,,"Wynns, Austin",177,703,25.2,0.223,0.036,Graphs
388,,"Marcano, Tucupita",177,672,26.3,0.176,0.03,Graphs
389,,"Casali, Curt",176,783,22.5,0.189,0.014,Graphs
390,,"Olivares, Edward",174,689,25.3,0.288,-0.002,Graphs
391,,"Heineman, Tyler",174,602,28.9,0.248,-0.031,Graphs
392,,"Díaz, Lewin",174,732,23.8,0.167,0.002,Graphs
393,,"Barrero, Jose",174,679,25.6,0.14,0.012,Graphs
394,,"Mazara, Nomar",171,714,23.9,0.25,0.014,Graphs
395,,"Cabrera, Oswaldo",171,716,23.9,0.22,0.027,Graphs
396,,"McKenna, Ryan",171,597,28.6,0.21,0.027,Graphs
397,,"Leblanc, Charles",169,699,24.2,0.218,0.045,Graphs
398,,"Delay, Jason",167,653,25.6,0.2,0.013,Graphs
399,,"Camargo, Johan",166,718,23.1,0.225,0.012,Graphs
400,,"Torrens, Luis",166,677,24.5,0.236,-0.011,Graphs
401,,"Wade, Tyler",163,628,26,0.212,0.006,Graphs
402,,"Garlick, Kyle",162,602,26.9,0.227,0.006,Graphs
403,,"Bruján, Vidal",162,612,26.5,0.189,-0.026,Graphs
404,,"Brosseau, Mike",160,686,23.3,0.213,0.042,Graphs
405,,"Meyers, Jake",160,635,25.2,0.205,0.022,Graphs
406,,"Suzuki, Kurt",159,593,26.8,0.191,-0.011,Graphs
407,,"Alberto, Hanser",159,521,30.5,0.216,0.028,Graphs
408,,"Kirilloff, Alex",156,614,25.4,0.232,0.018,Graphs
409,,"Cain, Lorenzo",156,623,25,0.2,-0.021,Graphs
410,,"Grissom, Vaughn",155,588,26.4,0.259,0.032,Graphs
411,,"Adams, Riley",155,612,25.3,0.2,-0.024,Graphs
412,,"Lopez, Alejo",155,571,27.1,0.249,0.013,Graphs
413,,"Carpenter, Matt",153,723,21.2,0.231,0.074,Graphs
414,,"Langeliers, Shea",153,583,26.2,0.2,0.018,Graphs
415,,"Smith, Dominic",152,577,26.3,0.219,-0.025,Graphs
416,,"Heyward, Jason",151,558,27.1,0.218,-0.014,Graphs
417,,"Smith, Kevin",151,564,26.8,0.189,-0.009,Graphs
418,,"Ford, Mike",149,623,23.9,0.21,-0.004,Graphs
419,,"Meadows, Austin",147,590,24.9,0.308,-0.058,Graphs
420,,"O'Hearn, Ryan",145,547,26.5,0.271,-0.032,Graphs
421,,"Hall, Darick",142,543,26.2,0.232,0.018,Graphs
422,,"Andújar, Miguel",140,511,27.4,0.253,-0.018,Graphs
423,,"Piscotty, Stephen",138,554,24.9,0.216,-0.026,Graphs
424,,"Romine, Austin",136,516,26.4,0.159,-0.004,Graphs
425,,"Williams, Luke",135,540,25,0.198,0.038,Graphs
426,,"Allen, Greg",134,531,25.2,0.176,0.01,Graphs
427,,"Perez, Michael",132,492,26.8,0.205,-0.056,Graphs
428,,"Escobar, Alcides",131,510,25.7,0.21,0.008,Graphs
429,,"Call, Alex",131,570,23,0.209,0.028,Graphs
430,,"Huff, Sam",131,501,26.1,0.226,0.014,Graphs
431,,"Henderson, Gunnar",131,539,24.3,0.25,0.009,Graphs
432,,"Ibáñez, Andy",128,465,27.5,0.214,0.004,Graphs
433,,"Moran, Colin",128,530,24.2,0.233,-0.022,Graphs
434,,"Mercado, Oscar",128,471,27.2,0.203,0.004,Graphs
435,,"Clemens, Kody",127,509,25,0.193,-0.048,Graphs
436,,"Bote, David",127,494,25.7,0.233,0.026,Graphs
437,,"Beer, Seth",125,469,26.7,0.215,-0.026,Graphs
438,,"Garcia, Dermis",125,535,23.4,0.167,0.04,Graphs
439,,"Trejo, Alan",125,494,25.3,0.242,0.029,Graphs
440,,"Culberson, Charlie",124,439,28.2,0.226,0.026,Graphs
441,,"Herrera, Jose",124,475,26.1,0.152,0.037,Graphs
442,,"Zunino, Mike",123,482,25.5,0.182,-0.034,Graphs
443,,"Madris, Bligh",123,492,25,0.211,-0.034,Graphs
444,,"Eaton, Nate",122,479,25.5,0.233,0.031,Graphs
445,,"Palacios, Richie",122,513,23.8,0.244,-0.012,Graphs
446,,"Stubbs, Garrett",121,505,24,0.207,0.057,Graphs
447,,"Toglia, Michael",120,478,25.1,0.218,-0.002,Graphs
448,,"Zimmer, Bradley",117,439,26.7,0.138,-0.014,Graphs
449,,"White, Eli",117,444,26.4,0.183,0.017,Graphs
450,,"Trammell, Taylor",117,430,27.2,0.206,-0.01,Graphs
