last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed
Solano, Donovan,456781,113,CIN,1B,34,102,,4.62,25.8
McMahon, Ryan,641857,115,COL,3B,27,171,,4.61,25.8
Knizner, Andrew,668800,138,STL,C,27,100,,4.7,25.8
Urshela, Gio,570482,142,MIN,3B,30,185,,4.54,25.8
Suárez, Eugenio,553993,136,SEA,3B,30,144,,4.82,25.7
Santana, Carlos,467793,136,SEA,1B,36,140,,4.68,25.7
Donaldson, Josh,518626,147,NYY,3B,36,156,,4.58,25.7
Jiménez, Eloy,650391,145,CWS,DH,25,114,,4.62,25.7
Ruf, Darin,573131,121,NYM,1B,35,100,,4.78,25.7
Kelly, Carson,608348,109,AZ,C,27,114,,4.82,25.7
Pasquantino, Vinnie,686469,118,KC,1B,24,91,,4.73,25.6
Schwindel, Frank,643524,112,CHC,1B,30,98,,4.65,25.6
Stassi, Max,545358,108,LAA,C,31,117,,4.86,25.6
Alonso, Pete,624413,121,NYM,1B,27,183,,4.67,25.6
Mancini, Trey,641820,117,HOU,DH,30,169,,4.76,25.6
Hernandez, Yadiel,628450,120,WSH,LF,34,114,,4.62,25.6
Nido, Tomás,621512,121,NYM,C,28,108,,4.82,25.6
Rizzo, Anthony,519203,147,NYY,1B,32,143,,4.66,25.5
Machín, Vimael,605353,133,OAK,3B,28,91,,4.71,25.5
Vázquez, Christian,543877,117,HOU,C,31,168,,4.66,25.5
Cruz, Nelson,443558,120,WSH,DH,41,173,,4.81,25.5
Maile, Luke,571912,114,CLE,C,31,59,,4.74,25.5
Arenado, Nolan,571448,138,STL,3B,31,169,,4.72,25.5
Franco, Maikel,596748,120,WSH,3B,29,135,,4.88,25.5
Devers, Rafael,646240,111,BOS,3B,25,193,,4.57,25.5
Winker, Jesse,608385,136,SEA,LF,28,124,,4.67,25.4
Crawford, Brandon,543063,137,SF,SS,35,154,,4.54,25.3
Calhoun, Kole,594777,140,TEX,RF,34,95,,4.66,25.3
Ruiz, Keibert,660688,120,WSH,C,23,141,,4.77,25.3
Naylor, Josh,647304,114,CLE,1B,25,187,,4.63,25.3
Perez, Salvador,521692,118,KC,C,32,120,,4.78,25.3
Brantley, Michael,488726,117,HOU,DH,35,83,,4.72,25.3
Votto, Joey,458015,113,CIN,1B,38,102,,4.75,25.3
Herrera, Jose,645444,109,AZ,C,25,52,,4.64,25.3
Longoria, Evan,446334,137,SF,3B,36,74,,4.71,25.2
Cron, C.J.,543068,115,COL,1B,32,175,,4.84,25.2
Flores, Wilmer,527038,137,SF,2B,30,169,,4.71,25.2
Sanchez, Gary,596142,142,MIN,C,29,122,,4.72,25.1
Trevino, Jose,624431,147,NYY,C,29,120,,4.69,25
Moustakas, Mike,519058,113,CIN,DH,33,64,,4.77,25
Turner, Justin,457759,119,LAD,3B,37,158,,4.87,25
Choi, Ji-Man,596847,139,TB,1B,31,111,,4.57,25
Caratini, Victor,605170,158,MIL,C,28,94,,4.85,24.9
Wynns, Austin,642851,137,SF,C,31,64,,4.87,24.9
La Stella, Tommy,600303,137,SF,DH,33,71,,4.67,24.9
Camargo, Johan,622666,143,PHI,SS,28,50,,4.72,24.8
Plawecki, Kevin,608700,140,TEX,C,31,61,,4.91,24.8
Voit, Luke,572228,120,WSH,DH,31,117,,4.96,24.7
France, Ty,664034,136,SEA,1B,27,220,,4.88,24.7
Stanton, Giancarlo,519317,147,NYY,DH,32,117,,5.04,24.5
Hedges, Austin,595978,114,CLE,C,29,90,,4.94,24.5
Belt, Brandon,474832,137,SF,1B,34,55,,4.8,24.4
Kirk, Alejandro,672386,141,TOR,C,23,191,,4.89,24.1
Narváez, Omar,553882,158,MIL,C,30,71,,4.99,24.1
Vogelbach, Daniel,596129,121,NYM,DH,29,107,,4.9,23.9
Aguilar, Jesús,542583,110,BAL,1B,32,120,,5.01,23.9
Tellez, Rowdy,642133,158,MIL,1B,27,146,,4.83,23.8
Barnhart, Tucker,571466,116,DET,C,31,99,,4.89,23.8
Stallings, Jacob,607732,146,MIA,C,32,116,,5.04,23.7
Cabrera, Miguel,408234,116,DET,DH,39,147,,5.13,23.1
Pujols, Albert,405395,138,STL,DH,42,94,,5.08,22.6
Maldonado, Martín,455117,117,HOU,C,35,95,,5.07,22.4
Grandal, Yasmani,518735,145,CWS,C,33,94,,5.26,22
Molina, Yadier,425877,138,STL,C,39,80,,5.07,21.8
